curso,possui computador em casa?,Se sim há quanto tempo?,Se sim tem acesso a Internet,Sabe utilizar funções básicas do Sistema Operacional?,Utiliza a Internet com frequência?,Sabe navegar na Internet para realizar pesquisa?,Tem acesso à Internet através de dispositivos móveis?,Utiliza e-mail?,Sabe instalar programas no computador?,Tem conhecimento em programação?,Autocad,Word,Photoshop,Torrent,Skype,Navegador,Excel,Winrar,Dropbox,Matlab Octave
Física,sim,10,sim,sim,sim,sim,sim,sim,tenho algumas dificuldades,não,não,sim,não,sim,não,sim,sim,sim,não,não
Matemática,não,não respondeu,não respondeu,sim,pouco,sim,sim,sim,não,não,não,sim,não,não,não,sim,não,não,não,não
Outros,sim,8,sim,sim,sim,sim,sim,sim,sim,não,não,sim,não,sim,sim,sim,sim,sim,não,não
Física,sim,10,sim,sim,sim,sim,sim,sim,sim,não,não,sim,não,sim,não,sim,não,sim,sim,não
Física,sim,10,sim,sim,sim,sim,sim,sim,sim,não,não,sim,sim,sim,sim,sim,sim,sim,sim,não
Outros,sim,5,sim,sim,sim,sim,não,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não
Eng Civil,sim,4,sim,sim,sim,sim,sim,sim,tenho algumas dificuldades,tenho algumas dificuldades,não,sim,sim,não,sim,sim,não,sim,sim,sim
Física,sim,3,sim,sim,sim,sim,sim,sim,tenho algumas dificuldades,não,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim
Outros,sim,9,sim,sim,sim,sim,sim,sim,sim,não,sim,sim,não,sim,sim,sim,sim,não,sim,não
Eng de Minas,sim,10,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,sim,sim,sim,não,sim,sim,sim
Eng de Minas,sim,10,sim,sim,sim,sim,sim,pouco,sim,sim,sim,sim,não,sim,sim,sim,sim,sim,sim,sim
Matemática,sim,2,sim,sim,não,sim,sim,sim,tenho algumas dificuldades,não,não,não,não,não,não,não,não,não,sim,não
Eng Civil,sim,7,sim,sim,sim,sim,sim,sim,sim,não,não,sim,sim,sim,sim,sim,não,sim,sim,não
Física,sim,5,sim,sim,sim,sim,sim,sim,sim,não,não,sim,sim,sim,sim,sim,sim,sim,sim,não
Física,não,não respondeu,não respondeu,não,sim,sim,sim,sim,tenho algumas dificuldades,não,não,sim,não,não,não,sim,sim,não,não,não
Matemática,sim,1,sim,sim,sim,sim,sim,pouco,tenho algumas dificuldades,não,sim,sim,sim,não,não,sim,não,sim,não,não
Outros,sim,14,sim,sim,sim,sim,sim,sim,sim,não,não,sim,não,sim,não,sim,não,não,não,não
Física,não,não respondeu,não,sim,sim,sim,sim,sim,sim,não,sim,sim,sim,sim,sim,sim,sim,sim,sim,não
Física,não,não respondeu,não respondeu,não,pouco,sim,sim,não,não,não,não,não,não,não,não,sim,não,não,não,não
Outros,sim,12,sim,sim,sim,sim,sim,sim,sim,não,não,sim,sim,sim,sim,sim,sim,sim,sim,não
Eng Civil,não,não respondeu,não respondeu,sim,pouco,sim,sim,sim,não,não,não,sim,não,não,não,não,não,não,não,não
Eng Civil,sim,1,sim,sim,sim,sim,sim,sim,sim,não,não,sim,não,sim,sim,sim,sim,não,não,não
Eng de Minas,sim,10,sim,sim,sim,sim,sim,sim,tenho algumas dificuldades,não,não,sim,não,não,sim,sim,sim,não,não,não
Outros,sim,2,sim,sim,sim,sim,sim,sim,sim,não,não,sim,não,sim,não,sim,não,não,sim,não
Eng Mecânica,sim,20,sim,sim,sim,sim,sim,sim,sim,não,não,sim,não,não,sim,sim,não,não,sim,não
Eng de Petróleo,sim,2,sim,sim,sim,sim,sim,sim,sim,tenho algumas dificuldades,não,sim,sim,não,não,sim,sim,não,não,não
Outros,sim,4,não,sim,pouco,sim,sim,sim,sim,não,não,sim,não,não,não,sim,sim,não,não,não
Eng Civil,sim,2,sim,sim,sim,sim,sim,sim,tenho algumas dificuldades,tenho algumas dificuldades,não,sim,não,sim,sim,sim,sim,não,sim,não
Eng Civil,sim,12,sim,sim,sim,sim,sim,sim,sim,tenho algumas dificuldades,sim,sim,não,sim,não,sim,sim,sim,não,sim
Física,sim,1,sim,sim,sim,sim,sim,sim,sim,tenho algumas dificuldades,sim,sim,sim,não,sim,sim,sim,não,sim,não
Eng Mecânica,sim,10,sim,sim,sim,sim,sim,sim,tenho algumas dificuldades,não,não,sim,não,não,sim,sim,não,não,não,não
Física,não,não respondeu,não respondeu,sim,sim,sim,sim,sim,sim,tenho algumas dificuldades,não,sim,não,não,não,não,não,não,não,não
